DBA,BORO,CUISINE DESCRIPTION,GRADE,address_full,lat,long,VIOLATION CODE
CITI FIELD VIP LOUNGE,QUEENS,American,A,0 126 STREET & ROOSEVELT AVENUE nan,40.6860157,-73.8173838,1
CITI FIELD WORLD'S FAIR MARKET/STAND 104,QUEENS,American,A,0 126 TH ST & ROOSEVELT AVENUE nan,40.810843,-73.95067999999998,2
CITY ISLAND DINER /SNUG BAR,BRONX,American,Z,304 CITY ISLAND AVE 10464.0,40.847166200000004,-73.78629219999998,4
CITY SUBS,BROOKLYN,Sandwiches,A,82 5TH AVE 11217.0,40.68054619999999,-73.97783759999999,2
CJ's CAFE,BROOKLYN,Caribbean,A,875 FLATBUSH AVE 11226.0,40.6507966,-73.95859879999998,3
CLASSIC COFFEE SHOP,MANHATTAN,Caf̩/Coffee/Tea,A,56 HESTER STREET 10002.0,40.71567520000001,-73.9907994,1
CLAUDETTE,MANHATTAN,French,A,24 5TH AVE 10011.0,40.7332403,-73.9962714,3
CLAY POT NYC,MANHATTAN,Chinese,A,58 SAINT MARKS PL 10003.0,40.727915,-73.98665799999998,1
CLEARVIEW PARK (GOLF COURSE),QUEENS,American,A,20212 WILLETS POINT BOULEVARD 11360.0,40.7803527,-73.80230639999998,2
CLEO RESTAURANT/ YOURS TRULY BAR & LOUNGE,MANHATTAN,Mediterranean,A,444 PARK AVE S 10016.0,40.74475460000001,-73.98325179999998,1
CLINTON HALL,MANHATTAN,American,A,90 WASHINGTON ST 10006.0,40.7079703,-74.01480140000001,1
CLOUD 9 CREPES,BROOKLYN,Other,A,434 MARCUS GARVEY BLVD 11221.0,40.6819979,-73.93800490000001,3
CLUB MACANUDO (CIGAR BAR),MANHATTAN,American,A,26 EAST   63 STREET 10065.0,40.76586029999999,-73.96936149999998,3
CMX-CINEBISTRO,MANHATTAN,American,A,400 E 62ND ST 10065.0,40.761181799999996,-73.96036640000001,2
COCINA LATINA RESTAURANT,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,650 WESTCHESTER AVE 10455.0,40.8158386,-73.9085863,2
COCO FRESH TEA AND JUICE,MANHATTAN,Caf̩/Coffee/Tea,A,79 MOTT ST 10013.0,40.716493299999996,-73.998082,1
COCO PAZZO TRATTORIA,MANHATTAN,Italian,A,160 PRINCE ST 10012.0,40.7260026,-74.00156539999998,2
COCOTTE,MANHATTAN,French,A,110 THOMPSON STREET 10012.0,40.725735799999995,-74.0017575,2
CODE RED,BRONX,Caribbean,A,1320 E GUN HILL RD 10469.0,40.8711939,-73.848109,2
COFFEE & GREEN,QUEENS,American,Z,2106 36TH AVE 11106.0,40.759629600000004,-73.93664919999998,4
COFFEE EXPRESS,QUEENS,Caf̩/Coffee/Tea,A,4705 METROPOLITAN AVENUE 11385.0,40.7141795,-73.9200589,2
COLONIA VERDE,BROOKLYN,Peruvian,A,219 DEKALB AVE 11205.0,40.6896982,-73.97067990000001,2
COLONNADE DINER,STATEN ISLAND,American,A,2001 HYLAN BOULEVARD 10306.0,40.5811011,-74.0989902,2
COLUMBIA UNIVERSITY MEDICAL CENTER BOOKSTORE CAFE,MANHATTAN,Caf̩/Coffee/Tea,A,711 W 168TH ST 10032.0,40.8429647,-73.9428605,2
COMMUNITY HOUSE,QUEENS,American,Z,10119 ROCKAWAY BEACH BLVD 11694.0,40.58308299999999,-73.82208899999998,4
CONCOURSE BAKERY,BRONX,Caribbean,A,1189 MORRIS AVE 10456.0,40.833115299999996,-73.914365,1
CONES,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",A,272 BLEECKER STREET 10014.0,40.73154,-74.00334140000001,1
CONGRESS,BROOKLYN,American,A,208 COURT ST 11201.0,40.6869224,-73.9938927,2
CONTI'S PASTRY SHOPPE,BRONX,Bakery,Z,786 MORRIS PARK AVE 10462.0,40.845666200000004,-73.8627879,4
CONVENE AT 32 OLD SLIP,MANHATTAN,American,A,32 OLD SLIP 10005.0,40.70373729999999,-74.00771569999998,1
COOPER BEER GARDEN,QUEENS,Hamburgers,A,8000 COOPER AVE 11385.0,40.709086600000006,-73.8684157,2
CORONA DINER,QUEENS,American,A,9128 CORONA AVE 11373.0,40.7422781,-73.87257319999998,3
COSTELLO'S CLADDAGH INN,BROOKLYN,"Bottled beverages, including water, sodas, juices, etc.",A,3042 NOSTRAND AVENUE 11229.0,40.6101705,-73.9440075,3
COUNTRY BAY PIZZA,BRONX,Pizza,A,3233 AMPERE AVE 10465.0,40.8463784,-73.81952919999998,1
COUNTRY DONUTS,STATEN ISLAND,Donuts,A,4357 AMBOY ROAD 10312.0,40.545731200000006,-74.1611772,2
COZUMEL TORTILLA,MANHATTAN,Mexican,Z,877 10TH AVE 10019.0,40.7694349,-73.9886707,4
CREME & SUGAR,QUEENS,"Ice Cream, Gelato, Yogurt, Ices",A,5842A CATALPA AVE 11385.0,40.7020589,-73.9014952,2
CREME AND COCOA CREMERY,BROOKLYN,"Ice Cream, Gelato, Yogurt, Ices",A,1067 NOSTRAND AVE 11225.0,40.6619774,-73.95057400000002,2
CRISPO,MANHATTAN,Italian,A,240 WEST   14 STREET 10011.0,40.7391403,-74.00180350000001,3
CRISPY PIZZA,STATEN ISLAND,Italian,A,782 RICHMOND TERRACE 10301.0,40.644489,-74.09826900000002,2
CROCUS,BROOKLYN,Caf̩/Coffee/Tea,A,328 TOMPKINS AVE 11216.0,40.686483100000004,-73.94475729999998,3
CROSSROAD CAFE (MORGAN LEWIS),MANHATTAN,American,A,101 PARK AVE 10178.0,40.75098089999999,-73.9776329,2
CROWN FRIED CHICKEN,BROOKLYN,American,A,2801 MERMAID AVENUE 11224.0,0.0,0.0,1
CROWN FRIED CHICKEN,BROOKLYN,Chicken,A,417 NEW LOTS AVE 11207.0,40.662378000000004,-73.8922796,2
CROWN FRIED CHICKEN,BROOKLYN,Chicken,A,456 SUTTER AVENUE 11212.0,40.6682163,-73.9021214,3
CROWN FRIED CHICKEN,QUEENS,American,A,8792 PARSONS BLVD 11432.0,40.706783,-73.802539,3
CROWN FRIED CHICKEN AND PIZZA,BROOKLYN,Chicken,A,1263 NOSTRAND AVE 11226.0,40.6561592,-73.94994770000001,2
CROWN FRIED CHICKEN PIZZA & COFFEE SHOP,BROOKLYN,American,Z,108 MALCOLM X BLVD 11221.0,40.6898817,-73.93076789999998,7
CROWNE PLAZA JFK,QUEENS,American,Z,13810 135TH AVE 11436.0,40.667606,-73.79940129999999,4
CROXLEYS THE ABBEY,BROOKLYN,American,A,63 GRAND ST 11249.0,40.7160369,-73.9648332,2
CRYSTAL ICE,QUEENS,Caf̩/Coffee/Tea,A,13621 ROOSEVELT AVE 11354.0,40.7599935,-73.82936629999998,1
CUBA,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,222 THOMPSON STREET 10012.0,40.7291176,-73.99887129999998,2
CUBBYHOLE,MANHATTAN,American,A,281 WEST   12 STREET 10014.0,40.7376831,-74.0037636,2
CUCINA FRESCA,STATEN ISLAND,Pizza/Italian,A,2110 RICHMOND ROAD 10306.0,40.5814371,-74.1112871,2
CUE BAR,QUEENS,American,A,4518 BELL BLVD 11361.0,40.75972,-73.769412,3
CUMIN INDIAN CUISINE,BRONX,Indian,Z,3549 JOHNSON AVE 10463.0,40.8864412,-73.91003309999998,8
CURRY IN A HURRY,MANHATTAN,Indian,A,119 LEXINGTON AVENUE 10016.0,40.7427078,-73.98224350000001,3
CURRY KING,MANHATTAN,Pakistani,Z,942 COLUMBUS AVENUE 10025.0,40.7995654,-73.96296079999998,6
CUSTOM BURGERS,QUEENS,American,A,0 LAGUARDIA AIRPORT 11369.0,40.7704121,-73.8701432,0
CYPRIANA,QUEENS,Delicatessen,A,4702 37TH ST 11101.0,40.752072,-73.926474,2
Cafe 53,MANHATTAN,American,A,1301 AVE OF TH AMER nan,40.7617975,-73.98003100000001,2
Cascalote Latin Bistro,MANHATTAN,Mexican,A,2126 2ND AVENUE 10029.0,40.792688,-73.9406434,2
City Island in the City,MANHATTAN,Seafood,A,301 W 151ST ST 10039.0,40.826854600000004,-73.9393575,3
Cloud M,MANHATTAN,American,A,189 BOWERY 10002.0,40.720619,-73.99347,2
Corona Bar,BROOKLYN,"Bottled beverages, including water, sodas, juices, etc.",A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,1
"D'ANGELO'S PIZZA, PANCHO'S MEXICAN RESTAURANT",BRONX,Mexican,Z,1160 PUGSLEY AVENUE 10472.0,40.8306451,-73.8567309,4
D'ANTAN,BROOKLYN,Italian,A,667 CLASSON AVE 11238.0,40.6773247,-73.95896590000001,2
D-LITE CAFFE,QUEENS,American,A,4519 BROADWAY 11103.0,40.75692979999999,-73.91417829999999,2
DA MIKELE,MANHATTAN,Italian,A,275 CHURCH STREET 10013.0,40.718464000000004,-74.004823,2
DA TANG SZECHUAN,MANHATTAN,Chinese,Z,18 W 38TH ST 10018.0,40.7541417,-73.9908573,4
DABAKH KINE RESTAURANT,BROOKLYN,African,Z,1933 FULTION ST nan,40.67888920000001,-73.91864489999998,1
DACTA BIRD,BROOKLYN,Caribbean,A,1553 RALPH AVE 11236.0,40.6390129,-73.9189011,3
DADDY GREENS 2,BROOKLYN,Pizza,A,1552 FULTON ST 11216.0,40.6797076,-73.93883520000001,2
DAE BAK RESTAURANT,QUEENS,Korean,A,14606 34 AVENUE 11354.0,43.168856,-77.6936948,4
DANI'S,STATEN ISLAND,Italian,A,7331 AMBOY RD 10307.0,40.51112029999999,-74.2417073,2
DANIEL'S BAGEL,MANHATTAN,Bagels/Pretzels,Z,569 THIRD AVENUE 10016.0,40.7478735,-73.97630769999998,5
DANIELA'S CAFE,BROOKLYN,Mexican,A,3901 NEW UTRECHT AVE 11219.0,40.645157399999995,-73.99416020000001,2
DANTE,MANHATTAN,Italian,Z,79-81 MACDOUGAL ST 10012.0,40.728878,-74.001662,6
DANY'S PIZZA RESTAURANT,BROOKLYN,Mexican,A,956 JAMAICA AVENUE 11208.0,40.6905735,-73.8696173,4
DARDANIA QEBABTORE EUROPE AND GRILL,BRONX,Eastern European,A,1009 MACE AVE 10469.0,40.8632097,-73.8584923,1
DARINA CAFE,STATEN ISLAND,Russian,A,315 SAND LANE 10305.0,40.5922737,-74.0677513,2
DAVEY'S ICE CREAM,BROOKLYN,"Ice Cream, Gelato, Yogurt, Ices",A,74 MESEROLE AVE 11222.0,40.7264458,-73.95423869999998,2
DAVID'S BAGELS,MANHATTAN,American,A,273 1 AVENUE 10003.0,40.732499100000005,-73.9820027,2
DAVIDSTEA,MANHATTAN,Caf̩/Coffee/Tea,A,1124 3 AVENUE 10065.0,40.765834999999996,-73.96377439999998,2
DAVIS FAMILY ESTABLISHMENT,QUEENS,American,Z,10905 UNION HALL STREET 11433.0,40.69448999999999,-73.79063099999998,0
DEAR MAMA COFFEE,MANHATTAN,American,A,611 W 129TH ST 10027.0,40.8169696,-73.95862120000001,0
DEFONTE'S OF BROOKLYN,STATEN ISLAND,Sandwiches,A,95 WATER ST 10304.0,0.0,0.0,4
DEILINE'S RESTAURANT,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,1544 EAST  174 STREET 10472.0,40.833989200000005,-73.8789127,4
DEJA VU LOUNGE & BAR,QUEENS,American,A,18025 LINDEN BOULEVARD 11434.0,40.6736584,-73.84272279999998,2
DELHI HEIGHTS,QUEENS,Indian,A,3766 74 STREET 11372.0,40.7471124,-73.8916109,3
DELICIAS CUENCANAS RESTAURANT,QUEENS,Spanish,A,17218 HILLSIDE AVE 11432.0,40.7117595,-73.7894611,2
DELICIAS PIZZA AND CHICKEN,QUEENS,Pizza,A,14120 HOLLY AVENUE 11355.0,40.751652,-73.81733799999998,3
DELICIOSO RESTAURANT,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,423 EAST  149 STREET 10455.0,40.815967,-73.91683259999999,4
DELICIOUS COLOMBIANAS BAKERY AND RESTAURANT,QUEENS,Spanish,A,4036 82ND ST 11373.0,40.746589,-73.88388119999998,3
DELIZIA 92,MANHATTAN,Pizza/Italian,A,1762 2 AVENUE 10128.0,40.781451800000006,-73.9486798,1
DELMONICO GOURMET,MANHATTAN,American,A,375 LEXINGTON AVENUE 10017.0,40.75093270000001,-73.97625790000001,4
DELTA SKY CLUB,QUEENS,American,A,TERMINAL C LAGUARDIA INTERNATIONAL AIRPORT nan,40.771038,-73.86517950000001,0
DENG JI RESTAURANT,QUEENS,Chinese,Z,4622 KISSENA BLVD 11355.0,40.7499956,-73.8187069,5
DESERT RAIN LOUNGE,QUEENS,American,Z,10729 METROPOLITAN AVE 11375.0,40.7097624,-73.8450965,7
DEUTSCHE BANK - EXECUTIVE  DINING  ROOM,MANHATTAN,American,A,60 WALL ST 10005.0,40.7062255,-74.00839119999998,1
DEUTSCHE BANK - MAIN CAFE,MANHATTAN,American,A,60 WALL ST 10005.0,40.7062255,-74.00839119999998,2
DEVOCION,BROOKLYN,Caf̩/Coffee/Tea,A,300 LIVINGSTON ST 11217.0,40.6883088,-73.9826571,2
DHANSHIRI CHINESE,QUEENS,Indian,Z,16928 HILLSIDE AVE 11432.0,40.71085590000001,-73.7920252,3
DI FARA PIZZERIA,BROOKLYN,Pizza,Z,1424 AVENUE J 11230.0,40.6249664,-73.96152590000001,2
DICKEY'S BARBEQUE PIT,BROOKLYN,Barbecue,A,196 FLATBUSH AVE 11217.0,40.6816602,-73.9760043,3
DIG INN,MANHATTAN,Salads,A,709 LEXINGTON AVE 10022.0,40.7612102,-73.9688089,2
DIG INN / MATCHABAR,MANHATTAN,American,A,70 PRINCE ST 10012.0,40.7646158,-73.8339115,2
DIVINA Pharmacy JUICE BAR,QUEENS,"Juice, Smoothies, Fruit Salads",A,8513 NORTHERN BLVD 11372.0,40.7561274,-73.8820709,1
DIWAN GRILL,BROOKLYN,Indian,Z,678 FRANKLIN AVE 11238.0,40.6753478,-73.9565437,5
DJ REYNOLDS PUB AND RESTAURANT,MANHATTAN,Irish,A,351 WEST   57 STREET 10019.0,40.767777,-73.98490799999998,2
DJERDAN,QUEENS,Eastern European,Z,3404 31 AVENUE 11106.0,40.7630746,-73.92091719999998,5
DOCKS RESTAURANT,MANHATTAN,Seafood,A,633 3 AVENUE 10017.0,40.749625200000004,-73.97466990000001,2
DOKEBI GRILL,BROOKLYN,Korean,A,199 GRAND STREET 11211.0,40.7143152,-73.9602057,2
DOMENICO PIZZERIA,STATEN ISLAND,Pizza/Italian,A,3295 AMBOY RD 10306.0,40.5611624,-74.1356948,2
DOMINIQUE ANSEL KITCHEN,MANHATTAN,Bakery,A,137 7TH AVE S 10014.0,40.734790600000004,-74.00189530000002,2
DOMINO'S,MANHATTAN,Pizza,A,181 CHURCH STREET 10007.0,40.715612899999996,-74.00713490000001,1
DOMINO'S,QUEENS,Pizza,A,24722D S CONDUIT AVE 11422.0,40.66513399999999,-73.7303027,3
DOMINO'S,QUEENS,Pizza,Z,7802 JAMAICA AVE 11421.0,40.691725399999996,-73.86364329999998,2
DOMINO'S PIZZA,MANHATTAN,Pizza,A,736 WEST  181 STREET 10033.0,40.8505637,-73.9376813,1
DON COQUI,QUEENS,Spanish,Z,2818 31ST STREET 11102.0,40.767944899999996,-73.92072399999998,8
DON PANCHOLO LECHONERA RESTAURANT,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,2037 JEROME AVE 10453.0,40.8536647,-73.90785600000001,3
DON TEQUILA URBAN CANTINA,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,8338 WOODHAVEN BOULEVARD 11385.0,40.7022074,-73.85573409999998,3
DONG CHUN HONG CHINESE RESTAURANT,MANHATTAN,Korean,Z,312 5 AVENUE 10001.0,40.747050200000004,-73.98597180000002,6
DONUT CONNECTION/MIKE'S PLACE,BROOKLYN,Caf̩/Coffee/Tea,A,6830 3RD AVE 11220.0,0.0,0.0,3
DONUT CONNECTIONS,BROOKLYN,Donuts,A,1621 MERMAID AVE 11224.0,40.5769083,-73.98449509999999,3
DOS CAMINOS,MANHATTAN,Mexican,A,373 PARK AVENUE SOUTH 10016.0,40.742133200000005,-73.98445059999999,1
DOS TOROS,MANHATTAN,Mexican,A,1 STATE ST 10004.0,40.70276399999999,-74.01334659999998,2
DOS TOROS,MANHATTAN,Mexican,A,285 MADISON AVE 10017.0,40.7516776,-73.97954709999998,2
DOSA DELIGHT,QUEENS,Indian,Z,3566 73RD ST 11372.0,40.749188399999994,-73.8929272,6
DOTORY,BROOKLYN,Korean,Z,353 BROADWAY 11211.0,40.7078374,-73.95565970000001,4
DOUBLE DRAGON,BROOKLYN,Chinese,A,4318 4TH AVE 11232.0,40.6501294,-74.0090898,3
DOUGH,MANHATTAN,Donuts,A,700 8TH AVE 10036.0,40.7586844,-73.9882884,1
DOWNEY'S BAR & GRILL,BRONX,American,A,5790 MOSHOLU AVE 10471.0,40.905223799999995,-73.89763149999999,3
DOWNTOWN BAKERY II MEXICAN FOOD,MANHATTAN,Mexican,Z,69 1 AVENUE 10003.0,40.7254662,-73.987225,4
DREDSURFER GRILL,QUEENS,Caribbean,A,16-27 SEAGIRT BLVD 11691.0,40.594966,-73.750916,2
DRUNKEN DUMPLING,MANHATTAN,Chinese,A,137 1ST AVE 10003.0,40.7279092,-73.9852971,3
DUE FRATELLI PIZZERIA RESTAURANT,QUEENS,Pizza/Italian,A,7623 37TH AVE 11372.0,40.74945,-73.88924200000001,3
DUMONT BURGER,BROOKLYN,Sandwiches,A,314 BEDFORD AVE 11249.0,40.7136831,-73.9621056,1
DUMPLING KINGDOM,MANHATTAN,Chinese,Z,227 SULLIVAN ST 10012.0,40.72960519999999,-73.9994648,3
DUNKIN DONUTS,MANHATTAN,Donuts,Z,398 AUDUBON AVE 10033.0,40.8510867,-73.93087159999999,4
DUNKIN',BRONX,Caf̩/Coffee/Tea,A,2515 BOSTON ROAD 10467.0,40.86378970000001,-73.8651783,1
DUNKIN',BRONX,Donuts,A,4201 WEBSTER AVENUE 10470.0,40.895779,-73.8636441,2
DUNKIN',BRONX,Donuts,A,763 EAST GUNHILL ROAD 10467.0,40.87667929999999,-73.8631554,2
DUNKIN',BRONX,Donuts,Z,712 EAST  233 STREET 10466.0,40.89305,-73.85698769999998,4
DUNKIN',BROOKLYN,Donuts,A,11010 FLATLANDS AVENUE 11207.0,40.649551,-73.8895337,2
DUNKIN',BROOKLYN,Donuts,A,3921 5TH AVE 11232.0,40.650732700000006,-74.00424220000001,0
DUNKIN',BROOKLYN,Donuts,A,711 BRIGHTON BEACH AVENUE 11235.0,40.5781192,-73.9602975,2
DUNKIN',BROOKLYN,Donuts,A,Nov-32 MYRTLE AVE 11206.0,40.6996615,-73.9090915,2
DUNKIN',BROOKLYN,Donuts,Z,352 GRAHAM AVENUE 11211.0,40.714792200000005,-73.9442262,4
DUNKIN',MANHATTAN,American,A,111 WEST  110 STREET 10026.0,40.798779700000004,-73.9527907,1
DUNKIN',MANHATTAN,American,A,2264 FREDERICK DOUGLASS BLVD 10027.0,40.807817799999995,-73.9525677,4
DUNKIN',MANHATTAN,Donuts,A,1433 2ND AVE 10021.0,40.770475899999994,-73.95745490000002,3
DUNKIN',MANHATTAN,Donuts,A,243 9 AVENUE 10001.0,40.7477648,-74.0006523,1
DUNKIN',MANHATTAN,Donuts,A,353 AMSTERDAM AVE 10024.0,40.78160210000001,-73.97924599999999,3
DUNKIN',MANHATTAN,Donuts,A,525 LENOX AVENUE 10037.0,40.8151417,-73.94054009999998,2
DUNKIN',MANHATTAN,Donuts,A,815 10TH AVE 10019.0,40.7675985,-73.9899329,1
DUNKIN',QUEENS,Caf̩/Coffee/Tea,A,13107 40TH RD 11354.0,40.756378600000005,-73.83698989999998,2
DUNKIN',QUEENS,Caf̩/Coffee/Tea,A,4159 KISSENA BOULEVARD 11355.0,40.757549100000006,-73.8271484,3
DUNKIN',QUEENS,Caf̩/Coffee/Tea,A,6122 FRESH POND ROAD 11379.0,40.7137377,-73.9015975,2
DUNKIN',QUEENS,Donuts,A,10005 QUEENS BOULEVARD 11375.0,40.7271516,-73.8531962,1
DUNKIN',QUEENS,Donuts,A,10801 GRAND CENTRAL PARKWAY 11369.0,40.765390000000004,-73.8619526,1
DUNKIN',QUEENS,Donuts,A,17728 150TH AVE 11434.0,0.0,0.0,3
DUNKIN',QUEENS,Donuts,A,18905 LINDEN BLVD 11412.0,40.6920237,-73.76201230000002,0
DUNKIN',STATEN ISLAND,Donuts,Z,770 FOREST AVENUE 10310.0,40.9555473,-73.6855855,5
DUNKIN' & BASKIN ROBBINS,BROOKLYN,Caf̩/Coffee/Tea,A,1621 AVENUE U 11229.0,40.599247399999996,-73.95483309999999,1
DUNKIN' DONUTS,BRONX,American,A,70 MAJOR DEEGAN EXPRESSWAY 10471.0,40.8950775,-73.8814393,2
DUNKIN' DONUTS,BROOKLYN,Donuts,A,1752 SHORE PKWY 11214.0,40.592683799999996,-73.9970788,2
DUNKIN' DONUTS,BROOKLYN,Donuts,A,806 FRANKLIN AVE 11225.0,40.6701609,-73.95852630000002,2
DUNKIN' DONUTS,BROOKLYN,Donuts,A,873 FLATBUSH AVENUE 11226.0,40.6508157,-73.958609,3
DUNKIN' DONUTS,MANHATTAN,Donuts,A,2424 BROADWAY 10024.0,40.908288,-73.896564,4
DUNKIN' DONUTS,MANHATTAN,Donuts,Z,370 LEXINGTON AVE 10017.0,40.750698799999995,-73.97698799999998,6
DUNKIN' DONUTS,QUEENS,Donuts,A,3117 30 AVENUE 11102.0,40.7667588,-73.9206083,1
DUNKIN' DONUTS / BASKIN ROBBINS,QUEENS,Donuts,A,14625 NORTHERN BOULEVARD 11354.0,40.7654079,-73.81980490000001,3
"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,Donuts,Z,1225 1 AVENUE 10065.0,40.764239399999994,-73.95885770000001,4
"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,Donuts,A,6365 WOODHAVEN BOULEVARD 11374.0,40.7228833,-73.8674281,2
DUNKIN' DONUTS/BASKIN ROBBINS,QUEENS,Donuts,A,13210 14TH AVE 11356.0,40.785761,-73.8358873,2
"DUNKIN', BASKIN ROBBINS",BROOKLYN,Caf̩/Coffee/Tea,A,643 MANHATTAN AVENUE 11222.0,40.7240571,-73.95120659999998,2
"DUNKIN', BASKIN ROBBINS",QUEENS,Donuts,A,2514 BROADWAY 11106.0,40.763008,-73.92806,3
DYKER BEACH GOLF (GRILL ROOM),BROOKLYN,American,A,1020 86th Street 11228.0,40.615199,-74.0177228,2
DYNASTY,QUEENS,Chinese,A,14718 NORTHERN BLVD 11354.0,40.76509650000001,-73.81850109999998,3
DYNASTY TASTE,STATEN ISLAND,Chinese/Japanese,A,77 RICHMOND HILL RD 10314.0,40.5882751,-74.16496149999998,3
Da Ge Xiao Chi,BROOKLYN,Chinese,Z,4903 7TH AVE 11220.0,0.0,0.0,6
Daily Burger,MANHATTAN,Hamburgers,A,4 PENN PLZ 10121.0,40.7505621,-73.99347089999998,0
Donburi-ya,MANHATTAN,Japanese,Z,253 WEST   55 STREET 10019.0,40.7653169,-73.98323990000002,0
E'S BAR,MANHATTAN,American,A,511 AMSTERDAM AVE 10024.0,40.7866465,-73.97545009999999,2
E.A.T. CAFE,MANHATTAN,American,A,1064 MADISON AVENUE 10028.0,40.7773599,-73.9616751,2
EAGLE CITY TEX MEX CHINESE FOOD,BROOKLYN,Chinese,B,914B FULTON STREET 11238.0,40.682882,-73.96448540000002,3
EAR INN,MANHATTAN,American,A,326 SPRING STREET 10013.0,40.72584439999999,-74.00949229999998,2
EAST AND BULL CAFE,BROOKLYN,Sandwiches/Salads/Mixed Buffet,A,2338 CONEY ISLAND AVE 11223.0,40.5999612,-73.96149140000001,3
EAST COAST,BROOKLYN,Caribbean,A,658 ROGERS AVE 11226.0,40.655406400000004,-73.95322589999998,2
EAST COAST REMIX,BROOKLYN,Caribbean,Z,1457 ST JOHNS PLACE 11213.0,40.670678499999994,-73.9298117,4
EAST DIM SUM,QUEENS,Chinese,A,6006 MAIN STREET 11355.0,0.0,0.0,3
EAST SIDE BAGEL CAFE,MANHATTAN,Bagels/Pretzels,A,1496 1 AVENUE 10075.0,40.7716797,-73.95294109999998,2
EAST WIND SNACK,BROOKLYN,Chinese,A,103 N 3RD ST 11249.0,40.7169012,-73.9619613,2
EAT-A-BAGEL - BOAT SPIRIT OF AMERICA,MANHATTAN,Bagels/Pretzels,A,12 WHITEHALL FERRY TERMINAL 10004.0,40.702161,-74.0127837,1
ECUATORIANA RESTAURANT,MANHATTAN,Spanish,A,16851687 AMSTERDAM AVENUE nan,40.813446299999995,-73.9562105,4
EGYPTIAN COFFEE SHOP,QUEENS,Caf̩/Coffee/Tea,Z,2509 STEINWAY STREET 11103.0,40.767575,-73.91173590000001,4
EL BLOQUE DELI,QUEENS,Spanish,Z,13207 JAMAICA AVE 11418.0,40.70230919999999,-73.82009219999998,4
EL BUEN GUSTO,QUEENS,Mexican,A,3085 14TH ST 11102.0,40.7686941,-73.93140290000001,1
EL BURRO MEXICAN GRILL,BROOKLYN,Mexican,A,324 SUYDAM ST 11237.0,40.703349100000004,-73.92222729999999,2
EL CARBONCITO RESTAURANT,BRONX,Mexican,Z,1524 WATSON AVE 10472.0,40.825819700000004,-73.8782343,7
EL CARIBENO RESTAURANT,STATEN ISLAND,Spanish,A,174 SOUTH AVE 10303.0,40.6357078,-74.16642929999998,3
EL CENTRO CANTINA,MANHATTAN,Mexican,A,359 W 54TH ST 10019.0,40.76593949999999,-73.98671689999998,1
EL CORTEZ,BROOKLYN,Mexican,A,17 INGRAHAM ST 11206.0,40.707104,-73.933081,2
EL COYOTE,QUEENS,Mexican,A,7009 AUSTIN ST 11375.0,40.721022999999995,-73.8466183,2
EL DIAMANTE INTERNACIONAL CAFE,BROOKLYN,Spanish,A,4604 3RD AVE 11220.0,0.0,0.0,2
EL DORADO RESTAURANT,STATEN ISLAND,Spanish,A,2236 HYLAN BLVD 10306.0,40.5759994,-74.10387690000002,3
EL ENCEBOLLADO DE ROSSY,BROOKLYN,Spanish,Z,293 WYCKOFF AVE 11237.0,40.7006554,-73.91281190000001,9
EL FOGON COSTENO RESTAURANT.,QUEENS,Spanish,Z,10912 NORTHERN BOULEVARD 11368.0,40.757637700000004,-73.8598253,3
EL GUANACO RESTAURANT & PUPUSERIA,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,4195 BROADWAY 10033.0,40.848136,-73.938108,3
EL LOBITO LOCO,STATEN ISLAND,Mexican,A,330 HEBERTON AVE 10302.0,40.632998,-74.134152,1
EL MEXICANO BAR & RESTAURANT,BROOKLYN,Mexican,Z,4503 5 AVENUE 11220.0,39.0892183,-74.7369302,7
EL MEXICANO RESTAURANTE & CAFE,BROOKLYN,Tex-Mex,A,2102 EAST   15 STREET 11229.0,40.5985874,-73.9565786,1
EL NOEL ECO-CENTER FOR INTEGRATIVE WELLNESS,BROOKLYN,"Juice, Smoothies, Fruit Salads",A,525 CLINTON AVE 11238.0,40.682509100000004,-73.96638370000001,2
EL NOPAL RESTAURANT & JUICE BAR,BROOKLYN,Spanish,A,631 5TH AVE 11215.0,40.663119200000004,-73.9912786,4
EL NUEVO BARZOLA RESTAURANT,BROOKLYN,Spanish,A,3386 ATLANTIC AVENUE 11208.0,40.681480799999996,-73.87136729999999,2
EL NUEVO BOHIO RESTAURANT,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,791 EAST TREMONT AVENUE 10460.0,40.84413060000001,-73.8878704,4
EL NUEVO CAFE ESPANA,QUEENS,Spanish,A,8103 ROOSEVELT AVE 11372.0,40.7476963,-73.8846685,2
