Address,cities,lat,long,address_full
200 VARICK STREET 10014.0,"200 Varick St, New York, NY 10014, USA",40.7281249,-74.0050091,200 VARICK STREET 10014.0
56 HESTER STREET 10002.0,"56 Hester St, New York, NY 10002, USA",40.7156752,-73.9907994,56 HESTER STREET 10002.0
3819 69 STREET 11377.0,"38-19 69th St, Flushing, NY 11377, USA",40.7466351,-73.8960468,3819 69 STREET 11377.0
6443 108 STREET 11375.0,"64-43 108th St, Forest Hills, NY 11375, USA",40.7319586,-73.8487293,6443 108 STREET 11375.0
1300 HYLAN BOULEVARD 10305.0,"1300 Hylan Blvd, Staten Island, NY 10305, USA",40.5966368,-74.0850406,1300 HYLAN BOULEVARD 10305.0
336 LEXINGTON AVENUE 10016.0,"336 Lexington Ave, New York, NY 10016, USA",40.7497696,-73.9775514,336 LEXINGTON AVENUE 10016.0
569 THIRD AVENUE 10016.0,"569 3rd Ave, New York, NY 10016, USA",40.7478735,-73.97630769999999,569 THIRD AVENUE 10016.0
2512 STEINWAY STREET 11103.0,"25-12 Steinway St, Long Island City, NY 11103, USA",40.7677472,-73.91222499999999,2512 STEINWAY STREET 11103.0
1394 THIRD AVENUE 10075.0,"1394 3rd Ave, New York, NY 10075, USA",40.7746459,-73.9573545,1394 THIRD AVENUE 10075.0
221 WEST   38 STREET 10018.0,"221 W 38th St, New York, NY 10018, USA",40.7540255,-73.9895336,221 WEST   38 STREET 10018.0
13217 LIBERTY AVENUE 11419.0,"132-17 Liberty Ave, Jamaica, NY 11419, USA",40.691014,-73.813673,13217 LIBERTY AVENUE 11419.0
249-14 HORACE HARDING EXPRESSWAY 11362.0,"249-14 Horace Harding Expy, Little Neck, NY 11362, USA",40.7605317,-73.73101729999999,249-14 HORACE HARDING EXPRESSWAY 11362.0
476 76 STREET 11209.0,"476 76th St, Brooklyn, NY 11209, USA",40.6288417,-74.0236408,476 76 STREET 11209.0
1026 FIRST AVENUE 10022.0,"1026 1st Avenue, New York, NY 10022, USA",40.7577394,-73.9631077,1026 FIRST AVENUE 10022.0
3850 RICHMOND AVENUE 10312.0,"3850 Richmond Ave, Staten Island, NY 10312, USA",40.5438827,-74.16520229999999,3850 RICHMOND AVENUE 10312.0
11 WEST   60 STREET 10023.0,"11 W 60th St, New York, NY 10023, USA",40.7693649,-73.9828696,11 WEST   60 STREET 10023.0
